year,ngram
1800,0.0000000000000000000000
1801,0.0000000000000000000000
1802,0.0000000000000000000000
1803,0.0000000000000000000000
1804,0.0000000000000000000000
1805,0.0000000000000000000000
1806,0.0000000000000000000000
1807,0.0000000000000000000000
1808,0.0000000000000000000000
1809,0.0000000000000000000000
1810,0.0000000000000000000000
1811,0.0000000000000000000000
1812,0.0000000000000000000000
1813,0.0000000000000000000000
1814,0.0000000000000000000000
1815,0.0000000000000000000000
1816,0.0000000000000000000000
1817,0.0000000000000000000000
1818,0.0000000000000000000000
1819,0.0000000000000000000000
1820,0.0000000000000000000000
1821,0.0000000000000000000000
1822,0.0000000000000000000000
1823,0.0000000000000000000000
1824,0.0000000000000000000000
1825,0.0000000000000000000000
1826,0.0000000000000000000000
1827,0.0000000000000000000000
1828,0.0000000000000000000000
1829,0.0000000000000000000000
1830,0.0000000000000000000000
1831,0.0000000000000000000000
1832,0.0000000000000000000000
1833,0.0000000000000000000000
1834,0.0000000000000000000000
1835,0.0000000000801135903648
1836,0.0000000000801135903648
1837,0.0000000000801135903648
1838,0.0000000000801135903648
1839,0.0000000000801135903648
1840,0.0000000000801135903648
1841,0.0000000000801135903648
1842,0.0000000000000000000000
1843,0.0000000000000000000000
1844,0.0000000000000000000000
1845,0.0000000000000000000000
1846,0.0000000000000000000000
1847,0.0000000000000000000000
1848,0.0000000000000000000000
1849,0.0000000000000000000000
1850,0.0000000000000000000000
1851,0.0000000000000000000000
1852,0.0000000000000000000000
1853,0.0000000000000000000000
1854,0.0000000000000000000000
1855,0.0000000000000000000000
1856,0.0000000000000000000000
1857,0.0000000000000000000000
1858,0.0000000000000000000000
1859,0.0000000000000000000000
1860,0.0000000000000000000000
1861,0.0000000000000000000000
1862,0.0000000000000000000000
1863,0.0000000000000000000000
1864,0.0000000000000000000000
1865,0.0000000000000000000000
1866,0.0000000000000000000000
1867,0.0000000000000000000000
1868,0.0000000000000000000000
1869,0.0000000000000000000000
1870,0.0000000000000000000000
1871,0.0000000000000000000000
1872,0.0000000000000000000000
1873,0.0000000000000000000000
1874,0.0000000000000000000000
1875,0.0000000000000000000000
1876,0.0000000000000000000000
